iter	Passed	Remaining
616	2290	5505
617	2294	5502
618	2298	5498
619	2301	5494
620	2305	5491
621	2309	5487
622	2313	5483
623	2316	5480
624	2320	5476
625	2324	5472
626	2328	5469
627	2331	5465
628	2335	5461
629	2338	5457
630	2342	5453
631	2345	5448
632	2349	5444
633	2352	5440
634	2356	5437
635	2360	5433
636	2364	5430
637	2370	5432
638	2376	5432
639	2379	5429
640	2383	5426
641	2388	5423
642	2391	5419
643	2395	5415
644	2399	5412
645	2402	5408
646	2406	5404
647	2410	5400
648	2413	5395
649	2417	5392
650	2420	5388
651	2424	5383
652	2427	5379
653	2432	5377
654	2435	5373
655	2439	5370
656	2443	5366
657	2448	5364
658	2452	5363
659	2456	5359
660	2460	5355
661	2463	5351
662	2467	5348
663	2471	5345
664	2475	5341
665	2479	5337
666	2483	5335
667	2487	5331
668	2491	5328
669	2494	5324
670	2498	5320
671	2502	5316
672	2505	5312
673	2509	5309
674	2513	5305
675	2516	5301
676	2520	5298
677	2524	5294
678	2528	5291
679	2532	5288
680	2536	5285
681	2540	5281
682	2544	5278
683	2548	5275
684	2552	5272
685	2556	5268
686	2559	5264
687	2564	5262
688	2567	5257
689	2571	5254
690	2574	5250
691	2578	5246
692	2582	5242
693	2585	5238
694	2589	5234
695	2593	5231
696	2596	5227
697	2600	5223
698	2603	5219
699	2607	5215
700	2611	5211
701	2614	5207
702	2618	5203
703	2622	5200
704	2626	5197
705	2630	5193
706	2633	5189
707	2637	5186
708	2641	5183
709	2645	5179
710	2650	5177
711	2658	5182
712	2664	5183
713	2668	5179
714	2672	5175
715	2675	5171
716	2679	5168
717	2683	5164
718	2686	5160
719	2690	5157
720	2694	5153
721	2699	5151
722	2702	5147
723	2706	5144
724	2710	5140
725	2713	5135
726	2717	5131
727	2721	5128
728	2724	5124
729	2728	5120
730	2732	5116
731	2735	5113
732	2739	5109
733	2743	5104
734	2746	5101
735	2750	5097
736	2754	5094
737	2758	5090
738	2762	5086
739	2765	5083
740	2769	5079
741	2773	5075
742	2776	5071
743	2780	5067
744	2784	5063
745	2787	5060
746	2792	5057
747	2796	5055
748	2800	5051
749	2804	5048
750	2808	5044
751	2812	5041
752	2816	5038
753	2820	5034
754	2823	5030
755	2827	5026
756	2831	5023
757	2835	5020
758	2839	5016
759	2843	5013
760	2847	5009
761	2851	5006
762	2855	5003
763	2858	4999
764	2862	4995
765	2867	4994
766	2871	4990
767	2874	4986
768	2878	4982
769	2882	4978
770	2885	4973
771	2889	4970
772	2892	4966
773	2896	4961
774	2900	4958
775	2903	4954
776	2907	4950
777	2911	4946
778	2914	4942
779	2918	4939
780	2922	4935
781	2926	4931
782	2929	4928
783	2933	4924
784	2937	4920
785	2941	4916
786	2944	4913
787	2948	4909
788	2952	4905
789	2955	4901
790	2959	4897
791	2963	4893
792	2966	4889
793	2970	4885
794	2974	4882
795	2978	4878
796	2981	4874
797	2985	4871
798	2989	4867
799	2993	4863
800	2996	4860
801	3000	4856
802	3003	4851
803	3007	4847
804	3011	4844
805	3014	4840
806	3018	4835
807	3021	4831
808	3025	4828
809	3029	4824
810	3032	4820
811	3036	4816
812	3040	4812
813	3044	4809
814	3047	4805
815	3051	4801
816	3055	4798
817	3059	4794
818	3063	4791
819	3066	4787
820	3071	4784
821	3075	4781
822	3079	4777
823	3082	4773
824	3086	4770
825	3090	4766
826	3094	4762
827	3098	4759
828	3101	4755
829	3105	4751
830	3109	4748
831	3113	4745
832	3117	4741
833	3121	4738
834	3124	4734
835	3129	4731
836	3133	4727
837	3136	4723
838	3140	4719
839	3143	4715
840	3147	4711
841	3151	4707
842	3154	4704
843	3158	4700
844	3162	4696
845	3166	4693
846	3170	4689
847	3173	4686
848	3177	4682
849	3182	4680
850	3187	4677
851	3190	4673
852	3194	4669
853	3199	4667
854	3203	4665
855	3208	4662
856	3212	4658
857	3216	4655
858	3219	4651
859	3223	4648
860	3227	4644
861	3231	4640
862	3234	4636
863	3238	4632
864	3241	4628
865	3245	4624
866	3249	4620
867	3252	4616
868	3255	4612
869	3259	4608
870	3263	4604
871	3267	4601
872	3271	4597
873	3274	4593
874	3278	4589
875	3282	4586
876	3286	4582
877	3289	4578
878	3293	4575
879	3297	4571
880	3301	4568
881	3305	4564
882	3309	4561
883	3314	4559
884	3318	4555
885	3322	4552
886	3326	4548
887	3330	4545
888	3333	4541
889	3337	4537
890	3341	4534
891	3345	4530
892	3349	4526
893	3352	4523
894	3356	4519
895	3360	4515
896	3364	4512
897	3368	4508
898	3372	4504
899	3375	4501
900	3379	4497
901	3383	4493
902	3386	4489
903	3390	4485
904	3394	4482
905	3398	4478
906	3401	4474
907	3405	4470
908	3408	4466
909	3412	4462
910	3416	4459
911	3420	4455
912	3424	4452
913	3428	4448
914	3431	4444
915	3435	4440
916	3439	4436
917	3442	4432
918	3446	4429
919	3450	4425
920	3453	4421
921	3457	4417
922	3461	4413
923	3464	4409
924	3468	4406
925	3472	4402
926	3476	4398
927	3479	4394
928	3483	4390
929	3487	4387
930	3491	4383
931	3494	4379
932	3498	4375
933	3502	4372
934	3505	4368
935	3510	4365
936	3513	4361
937	3517	4357
938	3521	4353
939	3524	4349
940	3528	4345
941	3531	4341
942	3535	4337
943	3539	4334
944	3543	4330
945	3547	4326
946	3550	4323
947	3554	4319
948	3558	4315
949	3561	4311
950	3565	4307
951	3568	4303
952	3572	4299
953	3575	4295
954	3579	4291
955	3582	4287
956	3587	4284
957	3590	4280
958	3594	4276
959	3598	4273
960	3602	4269
961	3606	4265
962	3609	4261
963	3613	4258
964	3618	4255
965	3622	4251
966	3627	4250
967	3631	4246
968	3635	4242
969	3639	4239
970	3642	4235
971	3646	4231
972	3650	4228
973	3653	4223
974	3657	4220
975	3660	4216
976	3664	4212
977	3668	4208
978	3671	4204
979	3675	4200
980	3679	4196
981	3682	4192
982	3686	4189
983	3690	4185
984	3693	4181
985	3697	4177
986	3701	4173
987	3704	4169
988	3709	4166
989	3714	4164
990	3717	4160
991	3721	4156
992	3726	4153
993	3729	4150
994	3733	4146
995	3737	4143
996	3741	4139
997	3745	4135
998	3749	4132
999	3753	4128
1000	3756	4124
1001	3760	4121
1002	3764	4117
1003	3768	4113
1004	3772	4110
1005	3776	4106
1006	3780	4102
1007	3783	4099
1008	3787	4095
1009	3791	4091
1010	3795	4088
1011	3799	4084
1012	3802	4080
1013	3808	4078
1014	3811	4074
1015	3815	4070
1016	3819	4067
1017	3823	4063
1018	3826	4059
1019	3831	4056
1020	3834	4052
1021	3838	4048
1022	3842	4044
1023	3845	4041
1024	3850	4038
1025	3854	4035
1026	3858	4031
1027	3862	4027
1028	3865	4023
1029	3869	4019
1030	3873	4016
1031	3876	4012
1032	3880	4008
1033	3884	4004
1034	3887	4000
1035	3891	3996
1036	3895	3992
1037	3898	3989
1038	3902	3985
1039	3906	3981
1040	3910	3977
1041	3914	3974
1042	3917	3970
1043	3921	3966
1044	3925	3962
1045	3928	3958
1046	3932	3955
1047	3936	3951
1048	3940	3947
1049	3944	3944
1050	3947	3940
1051	3952	3937
1052	3955	3933
1053	3959	3929
1054	3962	3925
1055	3966	3921
1056	3970	3917
1057	3974	3914
1058	3977	3910
1059	3982	3906
1060	3985	3903
1061	3989	3899
1062	3993	3895
1063	3997	3891
1064	4001	3888
1065	4004	3884
1066	4008	3880
1067	4012	3877
1068	4016	3873
1069	4020	3869
1070	4023	3866
1071	4027	3862
1072	4031	3858
1073	4035	3854
1074	4038	3851
1075	4042	3847
1076	4046	3843
1077	4051	3840
1078	4055	3837
1079	4058	3833
1080	4062	3829
1081	4066	3825
1082	4070	3822
1083	4074	3818
1084	4078	3815
1085	4081	3811
1086	4085	3807
1087	4089	3803
1088	4093	3799
1089	4096	3796
1090	4100	3792
1091	4104	3788
1092	4108	3784
1093	4111	3781
1094	4115	3777
1095	4119	3773
1096	4123	3769
1097	4127	3766
1098	4130	3762
1099	4134	3758
1100	4138	3755
1101	4142	3751
1102	4145	3747
1103	4150	3744
1104	4153	3740
1105	4158	3737
1106	4162	3733
1107	4166	3729
1108	4169	3726
1109	4173	3722
1110	4177	3718
1111	4181	3714
1112	4184	3710
1113	4188	3707
1114	4192	3703
1115	4196	3699
1116	4200	3696
1117	4203	3692
1118	4207	3688
1119	4211	3685
1120	4215	3681
1121	4219	3677
1122	4222	3673
1123	4227	3670
1124	4230	3666
1125	4234	3663
1126	4238	3659
1127	4241	3655
1128	4245	3651
1129	4249	3647
1130	4253	3644
1131	4257	3640
1132	4260	3636
1133	4264	3632
1134	4269	3630
1135	4273	3626
1136	4277	3622
1137	4281	3619
1138	4285	3615
1139	4288	3611
1140	4292	3607
1141	4296	3603
1142	4299	3600
1143	4303	3596
1144	4307	3592
1145	4310	3588
1146	4314	3585
1147	4318	3581
1148	4322	3577
1149	4326	3573
1150	4330	3570
1151	4333	3566
1152	4337	3562
1153	4341	3559
1154	4345	3555
1155	4349	3551
1156	4353	3547
1157	4356	3544
1158	4360	3540
1159	4364	3536
1160	4368	3533
1161	4372	3529
1162	4376	3525
1163	4380	3522
1164	4383	3518
1165	4387	3514
1166	4391	3510
1167	4395	3507
1168	4399	3503
1169	4402	3499
1170	4406	3496
1171	4411	3492
1172	4414	3488
1173	4418	3485
1174	4422	3481
1175	4426	3477
1176	4429	3473
1177	4433	3470
1178	4437	3466
1179	4441	3463
1180	4445	3459
1181	4449	3455
1182	4453	3451
1183	4456	3448
1184	4460	3444
1185	4464	3440
1186	4467	3436
1187	4471	3432
1188	4475	3428
1189	4478	3425
1190	4482	3421
1191	4486	3417
1192	4490	3413
1193	4494	3410
1194	4497	3406
1195	4501	3402
1196	4505	3398
1197	4509	3395
1198	4512	3391
1199	4516	3387
1200	4520	3383
1201	4524	3379
1202	4527	3375
1203	4531	3372
1204	4534	3368
1205	4538	3364
1206	4542	3360
1207	4546	3356
1208	4550	3353
1209	4553	3349
1210	4557	3345
1211	4561	3342
1212	4565	3338
1213	4569	3334
1214	4573	3331
1215	4577	3327
1216	4582	3324
1217	4586	3321
1218	4590	3317
1219	4593	3313
1220	4597	3309
1221	4601	3305
1222	4605	3302
1223	4608	3298
1224	4612	3294
1225	4616	3291
1226	4620	3287
1227	4624	3283
1228	4628	3280
1229	4632	3276
1230	4636	3272
1231	4640	3269
1232	4643	3265
1233	4647	3261
1234	4651	3257
1235	4655	3254
1236	4658	3250
1237	4662	3246
1238	4666	3242
1239	4669	3238
1240	4673	3235
1241	4677	3231
1242	4681	3227
1243	4685	3223
1244	4689	3220
1245	4692	3216
1246	4696	3212
1247	4699	3208
1248	4703	3204
1249	4707	3200
1250	4712	3197
1251	4716	3194
1252	4720	3190
1253	4723	3186
1254	4727	3182
1255	4731	3179
1256	4734	3175
1257	4738	3171
1258	4742	3167
1259	4746	3164
1260	4750	3160
1261	4754	3156
1262	4758	3153
1263	4761	3149
1264	4766	3146
1265	4771	3143
1266	4775	3139
1267	4779	3135
1268	4783	3132
1269	4787	3128
1270	4791	3125
1271	4795	3121
1272	4799	3117
1273	4803	3114
